Word,Valence,Extremity,Emotionality,Valence_StdDev,Extremity_StdDev,Emotionality_StdDev
sleazy,1.31,3.19,4.40,1.87,1.16,2.90
disconcerting,1.31,3.19,4.74,1.31,1.22,2.46
undependable,1.31,3.19,3.22,0.89,0.89,2.33
unprofessional,1.31,3.19,3.41,1.20,1.10,3.00
stink,1.30,3.20,2.24,1.25,1.25,2.64
abandon,1.30,3.20,4.90,1.39,1.31,2.40
frustrating,1.30,3.20,6.49,1.20,1.20,1.98
inconsiderate,1.30,3.20,5.41,1.81,0.98,2.07
losers,1.30,3.20,4.81,1.56,1.40,2.64
unstable,1.30,3.20,5.44,1.27,1.27,2.25
unsympathetic,1.30,3.20,4.11,1.07,1.07,2.50
illegal,1.29,3.21,2.30,1.19,1.09,2.71
detestable,1.29,3.21,6.66,1.41,1.32,2.76
rubbish,1.29,3.21,4.14,1.30,1.21,2.91
phony,1.28,3.22,4.46,1.51,1.10,2.96
ungrateful,1.28,3.22,5.42,1.33,1.06,2.89
awfully,1.28,3.22,5.58,1.17,1.17,2.66
defeated,1.28,3.22,5.16,1.31,1.31,2.81
disapprove,1.28,3.22,4.48,1.06,1.06,2.46
hater,1.28,3.22,5.48,1.17,1.17,2.75
miserableness,1.28,3.22,6.31,1.84,0.91,2.40
plagued,1.28,3.22,4.44,1.21,1.21,2.64
wrongly,1.28,3.22,2.29,1.17,1.17,2.39
yuck,1.28,3.22,5.37,1.24,1.24,2.82
cringe,1.28,3.22,6.50,1.07,1.07,2.37
sicken,1.28,3.22,5.56,1.13,1.13,2.53
letdown,1.27,3.23,6.03,1.31,1.21,2.15
icky,1.27,3.23,5.97,1.51,1.17,2.22
asinine,1.26,3.24,5.52,1.23,1.23,2.72
ghastly,1.26,3.24,5.55,1.35,1.35,2.64
menace,1.26,3.24,5.35,1.06,1.06,2.18
detested,1.26,3.24,6.83,1.46,1.38,2.44
shite,1.26,3.24,3.56,1.78,1.16,3.31
waste,1.26,3.24,2.57,1.26,1.26,2.73
jerk,1.25,3.25,6.55,1.11,1.11,2.47
rejected,1.25,3.25,5.28,1.00,1.00,2.81
